,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
50000000000,0.03488302622347809,0.3149289018076111,0.3513147759886969,0.005643011867028573,-0.02283424003090917,0.0027460693403797186,0.3137627101078113,0.15679104105804897,0.3402592479377341,0.005027296670667307,-0.02206746939017819,0.0032244981225232274,0.6144567177515047,0.5065563151134739,0.25313234951941915,0.5493338286101496,5841920.813081922,-2355832.550501959,-2673991.2194148316,4,2.0350642935743165e-06,-1.142407086342235e-05,0.00012540858068109444,6.698393234439386e-05,0.0,0.0,0.0,0.0,-266.60586093452446,-13.621749396424494,137.0765232054609,-28.2252464970958,-266.62281063905044,-13.62057011590972,137.05870670248774,-28.227357904198804,0.0,0.0,0.0,0.0,19.187522779639302,19.591420535646762,20.003962824430825,20.41064684166811,-4.999728702719108,-5.0001556023582046,-5.0171883378775455,-4.999054610283942,5.4828485568786105e-05,-8.862920748121105e-07,5841524.639164834,-2356227.214932338,-2674509.828422547,94.24967257027825,267597.9188290562,-1.0,115.26581609623342,8,1.8103722559394961,0.8142777045778284,0.5616058783789865,1.5577004297406543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000000000,0.061092860828702585,0.2941455436712439,0.34037846181354986,0.007256884104575594,-0.0215422927695922,0.0007336679240417057,0.33757429884794465,0.13929206079918827,0.3223932482667088,0.006696522972681946,-0.020754551906237838,0.0012552801678622203,0.6164279617273156,0.5456645358183109,0.2251555819224292,0.5211254611704045,5861646.071256745,-2336063.149493119,-2648014.1544886995,4,2.0914333060470862e-05,-1.458217256229484e-05,0.00011051626099824633,6.74624676053423e-05,0.0,0.0,0.0,0.0,-264.21285090542284,-16.321555583103223,161.86565273769287,-14.1126232485479,-264.2115292833377,-16.362424813313776,161.81487723465628,-14.124790193396523,0.0,0.0,0.0,0.0,19.20374853985733,19.59952095033614,20.004633425754555,20.402573942270475,-4.997237096039076,-5.000238599702166,-5.017883175205864,-4.999523553399573,5.0989209859905694e-05,-6.963957772514266e-07,5861253.538068059,-2336459.2945384323,-2648534.432644823,73.80356334254765,268016.8820248648,-1.0,94.81847797938117,8,1.7847645888561896,0.9659576454431821,0.7206594379721157,1.5394663813851233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000000000,0.08521841774506737,0.27584637214931496,0.3261248077481951,0.008325173995838684,-0.020339903080478738,-0.0012733765615213547,0.3603516308602304,0.12556335354516654,0.3026467269336396,0.007813185433003961,-0.01953193213337815,-0.000722767323053699,0.6165345687254732,0.5825208681821635,0.20297750157085992,0.4892388961998471,5881188.984484632,-2316221.0778373554,-2621954.4830089915,4,3.693405366848316e-05,-1.6408718684144554e-05,9.494205460121691e-05,6.666512845984388e-05,0.0,0.0,0.0,0.0,-258.1382869853957,-19.634954084936208,183.40274299960726,-0.06135923151542565,-258.1362395560101,-19.625431817134775,183.36987948412636,-0.05588905706525752,0.0,0.0,0.0,0.0,19.219843915444038,19.60746449843164,20.00529418228308,20.394620609352177,-4.995232991137229,-5.000322028189742,-5.0174095131102,-4.9999981370744155,4.7673485507841486e-05,-6.615803091725703e-07,5880800.103205082,-2316618.6890620873,-2622476.416720798,53.77553776613236,268334.6324730237,-1.0,74.78854378561037,8,1.737705924064934,1.0925453687741615,0.8715567894036201,1.5167173446943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000000000,0.10703930447081655,0.25958667930690776,0.3091929974278914,0.008877212819936843,-0.01921936354085533,-0.0031727447769864673,0.3817116406371572,0.11508867195663648,0.2812124474583377,0.008405436641942883,-0.018392848502463692,-0.0026037961732568397,0.6154702345652123,0.6166437936363803,0.1859223238815863,0.45429033845817823,5900548.940141553,-2296306.950938115,-2595813.0159180956,4,5.002753330834758e-05,-1.7170169693054188e-05,7.936465266358399e-05,6.479141130761242e-05,0.0,0.0,0.0,0.0,-248.99576148959727,-23.132430281315468,201.6264347596887,13.744467859455344,-249.00589745118242,-23.15600468004032,201.65120032871377,13.730219916900545,0.0,0.0,0.0,0.0,19.235767199223634,19.61525411933781,20.005900563977544,20.386824591089432,-4.993771424585643,-5.00039759252977,-5.016003977473283,-5.00088960032598,4.432939295627819e-05,-6.911661611631014e-07,5900163.721738892,-2296706.013914377,-2596336.5906808195,34.24503052091501,268553.491228841,-1.0,55.2561338332109,8,1.672556999354703,1.1967176738040481,1.0142559650336578,1.4900952905843126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000000000,0.12641490990001705,0.24495659256078356,0.2902152387953091,0.008970547365577846,-0.018186764528169412,-0.004874709535956643,0.4013070973074902,0.10734575982074804,0.25834676460867717,0.00853057974295238,-0.017344042689324022,-0.004294820645591758,0.6137966063184448,0.6476280317263337,0.17323422290139806,0.41691913197883335,5919725.331257622,-2276321.386462425,-2569590.5667448314,4,6.029449688915214e-05,-1.7192658887643035e-05,6.438401585665427e-05,6.205698665908742e-05,0.0,0.0,0.0,0.0,-237.39886673318182,-26.813984172241007,216.72080571248338,27.05942109830271,-237.42600951368988,-26.764617903018937,216.72156012277452,27.03166200565585,0.0,0.0,0.0,0.0,19.251475779707654,19.62289240241338,20.00642024061232,20.379218746592706,-4.992842259103987,-5.0004601549458645,-5.0139534043634235,-5.001677503488458,4.0767838473254245e-05,-7.391294651286415e-07,5919343.786505102,-2276721.886864685,-2570115.7671981025,15.242953273205561,268676.03762684745,-1.0,36.2519302713517,8,1.5919634116409633,1.280859257442114,1.1484296769331706,1.4595338311320198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75000000000,0.14329619266668953,0.23158882353027124,0.269801130456355,0.00868296943288721,-0.017243591017616813,-0.006312467665341743,0.41886186813266546,0.10181263651959384,0.23435991762408012,0.00826690585229828,-0.01638743790930246,-0.005726293601064933,0.6119469142251305,0.6751830958230236,0.16411656526688412,0.3777757460321917,5938717.556534075,-2256265.004324957,-2543287.9515769817,4,6.79653239049284e-05,-1.6773593348636314e-05,5.0470231642705434e-05,5.869456124193678e-05,0.0,0.0,0.0,0.0,-223.96119503130362,-30.31146036862027,228.74721508950682,39.6994227904804,-223.96678758592748,-30.327983387526995,228.75710780385558,39.692112283207976,0.0,0.0,0.0,0.0,19.266930922184894,19.630381757930593,20.00683389214661,20.371794108954393,-4.992389012368888,-5.000508709260426,-5.011545424220776,-5.0023297111152285,3.701215509638734e-05,-7.641954245108357e-07,5938339.696062722,-2256666.927989976,-2543814.7615922363,-3.2127981492807702,268704.9577140056,-1.0,17.794017548580207,8,1.4981649974646782,1.347052632652371,1.273460142078613,1.42457250689092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000000000,0.1577158123728958,0.21916868169679768,0.2485159431641214,0.008100070352652563,-0.016387334954117476,-0.007451267527296949,0.4341850505776152,0.09798807707537856,0.20959685893099755,0.007701000314289398,-0.01552089979313407,-0.0068612309188784085,0.6102422165671609,0.6991430982424239,0.15778453842701137,0.33750171071056406,5957525.020361407,-2236138.4266721103,-2516905.9890344786,4,7.335935401403803e-05,-1.615371970103073e-05,3.791997210045801e-05,5.49207944696406e-05,0.0,0.0,0.0,0.0,-209.17362023608604,-33.808936564999534,238.0124590483361,51.60311370447297,-209.14030871818875,-33.77901899351123,238.01429889911395,51.6027174859812,0.0,0.0,0.0,0.0,19.282100735754135,19.63772458102576,20.007133957209916,20.3645410086246,-4.992328801027068,-5.000545656804597,-5.0090254955737645,-5.0028340622411225,3.318607911527702e-05,-7.662257797725314e-07,5957150.854728668,-2236541.759622304,-2517434.391824227,-21.004772570788095,268643.0634456024,-1.0,0.0,8,1.3932294848599924,1.397088319579275,1.3885393792715022,1.3846805445522197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85000000000,0.16977141309040805,0.20743723451665252,0.2268594295420084,0.0073069198413973,-0.015612856792529653,-0.008285271840562016,0.447173722508789,0.09541153578847399,0.1844111509622983,0.0069192592492066446,-0.014739461361067381,-0.007692024161331183,0.6089131576832946,0.7194636859146091,0.15350887532484636,0.2967015272067621,5976147.132838887,-2215942.2778652254,-2490445.5002432307,4,7.683961709949944e-05,-1.5513952361943202e-05,2.686874108829251e-05,5.091906394457288e-05,0.0,0.0,0.0,0.0,-193.34293850510622,-37.12233506683252,244.82333374654834,62.70913460876501,-193.38688486328758,-37.095329197723196,244.79520150303873,62.696592546533935,0.0,0.0,0.0,0.0,19.296961465966792,19.644923374180067,20.007322154586756,20.357449771207307,-4.99257011290752,-5.000575495170024,-5.0065773388888415,-5.003192451804984,2.945846938004961e-05,-7.298328326869956e-07,5975776.67259622,-2216347.006305403,-2490975.478483217,-21.002949496599342,268538.0443372149,-1.0,0.0,8,1.279175356383877,1.4325197091493038,1.492847813506987,1.3395034607415601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90000000000,0.17960772577464582,0.19619109169954302,0.20525261661613625,0.006381456627517723,-0.014912263407368247,-0.008831297864667076,0.45780783592501545,0.09367913042381876,0.1591420581315639,0.006001032607505871,-0.014035229889985897,-0.008234167085588386,0.6081177930568282,0.7362089267518583,0.1506470764726342,0.25591917530505204,5994583.309794824,-2195677.184462972,-2463907.308809683,4,7.876956479837063e-05,-1.4984535095874442e-05,1.733400648000032e-05,4.683409737636736e-05,0.0,0.0,0.0,0.0,-177.0827421535184,-40.31301510563465,249.42527611020526,72.89476704032568,-177.0698073380922,-40.28717386967553,249.41756673209002,72.94152127947655,0.0,0.0,0.0,0.0,19.311497478801666,19.65198080686954,20.00740662202091,20.350511215727483,-4.993026144168524,-5.0006036845707635,-5.00432340571796,-5.003416150310383,2.5985379262056134e-05,-6.677655469759869e-07,5994216.565542136,-2196083.294759067,-2464438.844764358,-21.00139689723025,268433.0336662902,-1.0,0.0,8,1.1580071599405828,1.454724928574735,1.58571763781921,1.2889998691850577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95000000000,0.1873987891988898,0.18527964944525083,0.18403330905119586,0.005389632130038713,-0.014275383137293405,-0.009121682459901212,0.4661383346959928,0.09245412296448,0.13409777722764663,0.005013652144204336,-0.013397855621883616,-0.008519107901228997,0.6079562630588925,0.7495300547262639,0.1486621860663526,0.2156233607554705,6012832.972807163,-2175343.775203078,-2437292.2407960244,4,7.94943661969516e-05,-1.4633052073783731e-05,9.230096219159391e-06,4.2776695705781665e-05,0.0,0.0,0.0,0.0,-160.45439041283808,-43.38097668140593,252.24780075991484,82.34408869370122,-160.4776556874488,-43.38549305095952,252.19156220501597,82.33210432374631,0.0,0.0,0.0,0.0,19.325700362206785,19.65889971295371,20.00739922368932,20.34371695375247,-4.993621465236177,-5.000634862179061,-5.002327752384812,-5.003521895373473,2.287525173235585e-05,-5.851417338809653e-07,6012469.955228418,-2175751.253850558,-2437825.316437848,-21.00012873229269,268328.0300316557,-1.0,0.0,8,1.0316937218620639,1.4649543752981657,1.6667439010664504,1.2334832476303486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
