,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading [-],Fault
50000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009613123697996,0.06915459942639493,-0.7135202425902696,5.867234196743446e-06,1.3373988179551287e-06,-8.368961479465689e-06,0.25600737498960613,-0.3518028065397034,0.08685868689400403,-0.8961866868977515,4216893.33337741,-3450790.613778817,-4140004.2692785244,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49841421772842,47.78628965530054,-172.4158147154977,-86.69426638396278,0.0,0.0,0.0,0.0,19.1813028405038,19.590651218732926,20.00000078150622,20.40934939085271,-5.0,-5.0,-5.0,-5.0,-1.0850683714500164e-09,-4.01004696115595e-10,4216293.053971178,-3451067.48165056,-4140384.576555507,139.05791143895348,266152.6606981008,-1.0,160.05791143895348,8,0.0,0.0,0.0,0.0,1.8403749827507991,0.375574839825817,0.0,1.3418691667691531,,0.0
55000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800956099998173,0.0691386178363691,-0.7135344347529767,6.695483343683331e-06,7.43707605053951e-07,-8.944217986151874e-06,0.2559933736757181,-0.35179823015542877,0.0868376458675774,-0.8961945219391878,4246845.548890255,-3436893.6858619023,-4120914.401496025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.497366191928,47.78524305144056,-172.41476694269,-86.69321898970925,0.0,0.0,0.0,0.0,19.197517432565775,19.598758496739933,20.000000851396493,20.401242167357708,-5.0,-5.0,-5.0,-5.0,-2.3701458958433604e-09,-7.444582728055873e-11,4246247.898083882,-3437172.693101804,-4121297.2819306445,139.0596348447713,266847.9543389498,-1.0,160.0596348447713,8,0.0,0.0,0.0,0.0,1.8403701899814884,0.37555180343441374,0.0,1.341861298534801,,0.0
60000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800964094873895,0.06912068708375138,-0.7135492798803496,7.08009531092607e-06,4.2241289560809414e-08,-9.985440289733297e-06,0.25597826594458256,-0.3517950026852752,0.08681408070434816,-0.8962023872101271,4276665.85901265,-3422890.008749539,-4101696.178215499,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.63923489978102,184.49631860976473,47.78419655535571,-172.41371870391643,-86.69217100807218,0.0,0.0,0.0,0.0,19.213410890601693,19.606705208090624,20.000000919902053,20.393295509438353,-5.0,-5.0,-5.0,-5.0,-1.724429457006368e-09,3.134342711300989e-10,4276070.855427928,-3423171.1467360957,-4102081.6199300657,139.06209061586858,267543.25850251224,-1.0,160.06209061586858,8,0.0,0.0,0.0,0.0,1.840364510153734,0.37552296301437027,0.0,1.3418484967980036,,0.0
65000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28009878107016867,0.06910141032560924,-0.7135658466951452,7.146266193552118e-06,-1.9726036218320825e-07,-1.1366580516710363e-05,0.25596067188840294,-0.3517930532680117,0.0867886537409884,-0.8962106402518517,4306353.33473181,-3408780.015154508,-4082350.195361781,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.73748211900116,-172.41944055834608,-86.70059413129644,184.4952713460425,47.78314959730614,-172.41267012522516,-86.6911229130468,0.0,0.0,0.0,0.0,19.228989574750756,19.61449453284754,20.00000098705032,20.38550623705353,-5.0,-5.0,-5.0,-5.0,3.2130359780173214e-10,4.4353599311837607e-10,4305760.996909413,-3409063.2752003013,-4082738.18639869,139.06498958403947,268238.5762631065,-1.0,160.06498958403947,8,0.0,0.0,0.0,0.0,1.8403560132190278,0.37548431417281025,0.0,1.3418345400962028,,0.0
70000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801018749774493,0.0690812630339922,-0.7135849391262811,7.281215526063772e-06,2.1480759781883643e-07,-1.268189069537698e-05,0.25594001018250834,-0.35179115171131736,0.0867619221983327,-0.896219875712346,4335907.051104693,-3394564.1410965575,-4062877.0528479517,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49422401354207,47.78210198768701,-172.41162161236377,-86.69007527192149,0.0,0.0,0.0,0.0,19.244259719188015,19.622129588091262,20.000001052868182,20.3778712331436,-5.0,-5.0,-5.0,-5.0,2.0844256557830305e-09,2.0884158846712074e-10,4335317.397503183,-3394849.5144485594,-4063267.5811698027,139.06785718996693,268933.9086217294,-1.0,160.06785718996693,8,0.0,0.0,0.0,0.0,1.8403443851023757,0.37543715505572806,0.0,1.3418233222193698,,0.0
75000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801044395094189,0.06906020163997653,-0.7136064347294805,7.815563167075803e-06,9.319172054109725e-07,-1.3579789346504304e-05,0.25591697639852895,-0.351787920744474,0.08673387963315206,-0.8962304358439834,4365326.087286873,-3380242.825889486,-4043277.354557423,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49317628164343,47.78105407302622,-172.41057351691398,-86.68902827849747,0.0,0.0,0.0,0.0,19.259227434619145,19.62961342916787,20.000001117381974,20.370387442383088,-5.0,-5.0,-5.0,-5.0,2.115135546709552e-09,-1.9748379228209283e-10,4364739.136282073,-3380530.3037290336,-4043670.4080473133,139.07042400587463,269629.25457894494,-1.0,160.07042400587463,8,0.0,0.0,0.0,0.0,1.8403311862291005,0.3753870183466689,0.0,1.3418156478260583,,0.0
80000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28010585098696117,0.06903769929007546,-0.7136293853685334,8.751293510838116e-06,1.3565526031084693e-06,-1.4052144986360671e-05,0.2558929705872932,-0.35178296927489633,0.08670396124392513,-0.8962421286888715,4394609.526561421,-3365816.51212815,-4023551.70832591,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.35808132683064,-86.70059413129644,184.49212814836193,47.78000645083962,-172.40952584700705,-86.68798159363911,0.0,0.0,0.0,0.0,19.273898710725792,19.636949050911497,20.00000118061754,20.36305186995798,-5.0,-5.0,-5.0,-5.0,3.8916451727803466e-10,-4.4113177925335196e-10,4394025.296446177,-3366106.085570825,-4023947.2747879536,139.07284743795952,270324.6128539156,-1.0,160.07284743795952,8,0.0,0.0,0.0,0.0,1.840318567498556,0.3753391190167135,0.0,1.3418085699111113,,0.0
85000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801066269468931,0.0690131792605004,-0.7136527973477952,9.760133193970411e-06,1.1318554344441634e-06,-1.4440959982272525e-05,0.2558689451738344,-0.35177721411999535,0.08667150864097739,-0.8962543858255317,4423756.456367584,-3351285.645675333,-4003700.72592327,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.73748211900116,-172.41944055834608,-86.63923489978102,184.49107994197107,47.77895947798561,-172.40847826064078,-86.68693462433046,0.0,0.0,0.0,0.0,19.288279418562432,19.64413938884287,20.000001242600185,20.355861580367307,-5.0,-5.0,-5.0,-5.0,-1.6723882075484982e-09,-3.2161481996103546e-10,4423174.965351661,-3351577.3057710608,-4004098.793083215,139.0755821972071,271019.98383496364,-1.0,160.0755821972071,8,0.0,0.0,0.0,0.0,1.8403075002293408,0.37529406364833356,0.0,1.3417978140025306,,0.0
90000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28010800026341154,0.0689864893684603,-0.7136764490912714,1.0453663923525833e-05,4.3524334214493493e-07,-1.5156965703589463e-05,0.25584462118800194,-0.3517721254825328,0.08663631160802414,-0.896266729859826,4452765.968329471,-3336650.6756484946,-3983725.02303523,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.49003205088894,47.77791297704653,-172.4074303470838,-86.6858870116141,0.0,0.0,0.0,0.0,19.302375312905866,19.651187320344018,20.000001303354733,20.348813696248445,-5.0,-5.0,-5.0,-5.0,-2.3722681484023333e-09,6.27329549418542e-11,4452187.234539173,-3336944.413381993,-3984125.5785409617,139.07900615169925,271715.3701566626,-1.0,160.07900615169925,8,0.0,0.0,0.0,0.0,1.8402969766358945,0.37524735168093304,0.0,1.3417812943461513,,0.0
95000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801109046064901,0.06895802699732646,-0.7137010734970206,1.0702914733197478e-05,-1.6758046393799545e-07,-1.6341671066411534e-05,0.2558187177638916,-0.3517685170546061,0.08659878104331034,-0.8962791669857414,4481637.1582845375,-3321912.05440643,-3963625.21924502,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.35808132683064,-86.63923489978102,184.488984604087,47.77686638231912,-172.406381964827,-86.68483892593747,0.0,0.0,0.0,0.0,19.316192034558114,19.65809566580967,20.0000013629055,20.34190539722561,-5.0,-5.0,-5.0,-5.0,-1.1336377167232169e-09,3.9564279241387837e-10,4481061.199761913,-3322207.860697867,-3964028.2506668437,139.08310943607782,272410.775428731,-1.0,160.08310943607782,8,0.0,0.0,0.0,0.0,1.840284838886948,0.37519307887528647,0.0,1.341760829120209,,0.0
